date,output
09-07,181.9286090590305
09-08,185.61831904335324
09-09,166.9660280350221
09-10,157.53602698622805
09-11,158.04188049345387
09-12,196.2544156686031
10-01,211.5618054110773
10-02,196.9783003599736
10-03,175.56248244526103
10-04,154.57193032591252
10-05,163.10844677448603
10-06,187.85445964128883
10-07,203.58438025398334
10-08,204.27065197544448
10-09,181.60512310864112
10-10,161.7053603311492
10-11,169.13275396537227
10-12,208.94921733765915
11-01,218.9346271311293
11-02,197.238303053182
11-03,182.50278466796377
11-04,164.9738735214189
11-05,166.70789788749596
11-06,190.78884074161454
11-07,213.3828678342258
11-08,211.85043544999232
11-09,185.97781758720487
11-10,169.36371590224917
11-11,176.28039602493092
11-12,202.19941021957612
12-01,211.46151321082803
12-02,195.71900505878585
12-03,177.62907549043126
12-04,166.6209480374028
12-05,176.969963073538
12-06,193.44480371637616
12-07,216.7436837584951
12-08,211.18716268179338
12-09,186.44220403633398
12-10,174.62067855677384
12-11,182.7348297539638
12-12,204.4221903620508
13-01,224.8520161056983
13-02,208.31019735121907
13-03,201.5207388170725
13-04,178.51982323197245
13-05,178.8811340377883
13-06,198.52055611850017
13-07,217.7047360337829
13-08,214.34693459984757
13-09,197.21973594506747
13-10,182.79445581025232
13-11,194.23401899844288
13-12,227.1266417663384
14-01,249.33600956862762
14-02,227.08550643329244
14-03,211.2872194984811
14-04,182.5514849081743
14-05,186.757572337748
14-06,207.03101306233097
14-07,221.14663090453786
14-08,220.9792933060763
14-09,205.6142518513845
14-10,189.64315048647032
14-11,205.18615145114947
14-12,225.60299907195673
15-01,248.76414575131318
15-02,241.32510140789557
15-03,217.17979295528355
15-04,187.0413438001023
15-05,190.32846163983663
15-06,215.01674040721642
15-07,234.43047719134978
15-08,232.82763010384215
15-09,215.11300376628932
15-10,193.81093768694504
15-11,197.41269019368346
15-12,219.5132662541924
16-01,249.6254130077862
16-02,227.99560262839927
16-03,204.32820708527137
16-04,191.89225106005742
16-05,195.41734509914045
16-06,224.62897841234908
16-07,247.92973652078322
16-08,250.67501345916324
16-09,223.56597946537326
16-10,199.5357187889245
16-11,203.10861906966448
16-12,247.1993722265806
17-01,252.3978709811978
17-02,219.19435612888324
17-03,223.17103200482237
17-04,195.64295200571073
17-05,204.41241954432235
17-06,227.34650850188882
17-07,250.23439826061048
17-08,243.65874757526458
17-09,221.14196462004418
17-10,210.45659365077765
17-11,219.37790170348538
17-12,259.2150504314176
